1065,49.95%
1066,6.45%
1067,51.60%
1068,
1069,Tusk
1070,4.50%
1071,43.12%
1072,5.26%
1073,44.41%
1074,5.56%
1075,45.38%
1076,5.84%
1077,45.32%
1078,6.38%
1079,45.44%
1080,
1081,Pugna
1082,4.43%
1083,44.73%
1084,4.48%
1085,47.22%
1086,4.37%
1087,45.18%
1088,4.15%
1089,46.66%
1090,3.99%
1091,48.64%
1092,
1093,Nyx Assassin
1094,4.39%
1095,46.72%
1096,5.70%
1097,47.57%
1098,7.09%
1099,49.53%
1100,9.00%
1101,52.45%
1102,12.75%
1103,53.26%
1104,
1105,Night Stalker
1106,4.34%
1107,49.76%
1108,4.44%
1109,52.12%
1110,4.44%
1111,53.68%
1112,4.17%
1113,52.32%
1114,3.85%
1115,52.08%
1116,
1117,Omniknight
1118,4.31%
1119,52.39%
1120,4.50%
1121,53.69%
1122,4.01%
1123,53.01%
1124,3.52%
1125,52.11%
1126,2.99%
1127,53.37%
1128,
1129,Io
1130,4.28%
1131,46.39%
1132,5.25%
1133,41.88%
1134,6.00%
1135,38.54%
1136,5.72%
1137,46.75%
1138,7.90%
1139,53.83%
1140,
1141,Underlord
1142,4.15%
1143,56.54%
1144,4.77%
1145,56.17%
1146,4.66%
1147,56.70%
1148,4.23%
1149,53.32%
1150,2.45%
1151,50.49%
1152,
1153,Bane
1154,3.56%
1155,43.79%
1156,4.53%
1157,47.51%
1158,4.93%
1159,49.66%
1160,5.29%
1161,50.96%
1162,7.54%
1163,52.26%
1164,
1165,Broodmother
1166,3.53%
1167,47.55%
1168,3.11%
1169,48.49%
1170,3.00%
1171,50.75%
1172,2.62%
1173,52.19%
1174,2.67%
1175,53.97%
1176,
1177,Arc Warden
1178,3.45%
1179,46.45%
1180,4.08%
1181,49.00%
1182,4.60%
1183,50.23%
1184,4.86%
1185,50.35%
1186,4.28%
1187,51.04%
1188,
1189,Oracle
1190,3.43%
1191,45.07%
1192,4.97%
1193,45.61%
1194,6.79%
1195,46.25%
1196,9.11%
1197,48.10%
1198,15.31%
1199,49.91%
1200,
1201,Leshrac
1202,3.37%
1203,43.94%
1204,3.96%
1205,45.45%
1206,4.54%
1207,44.99%
1208,5.28%
1209,46.24%
1210,9.58%
1211,49.26%
1212,
1213,Clockwerk
1214,3.35%
1215,47.12%
1216,4.00%
1217,49.99%
1218,4.16%
1219,51.02%
1220,3.91%
1221,51.06%
1222,3.17%
1223,50.73%
1224,
1225,Gyrocopter
1226,3.34%
1227,49.32%
1228,3.21%
1229,50.88%
1230,2.88%
1231,50.06%
1232,2.48%
1233,48.57%
1234,2.16%
1235,52.15%
1236,
1237,Outworld Devourer
1238,3.33%
1239,37.63%
1240,3.58%
1241,39.21%
1242,4.00%
1243,41.41%
1244,4.52%
1245,43.29%
1246,7.64%
1247,47.66%
1248,
1249,Lycan
1250,3.31%
1251,48.52%
1252,3.13%
1253,49.83%
1254,3.06%
1255,49.97%
